Tier 1 Go-Live Gate Summary
Thresholds: min_r2=0.10, min_mae_improve=5.0%, rolling_window=5, min_rolling_runs=3, min_rolling_r2=0.10
1. totalShots_away_ALL: R²=0.356, MAE=3.46, baseline_best=4.12, MAEΔ=+16.3%, rollingR²_med=0.414 (n=5), gate=✅
2. offsides_home_ALL: R²=0.207, MAE=0.80, baseline_best=0.97, MAEΔ=+17.4%, rollingR²_med=0.144 (n=5), gate=✅
3. throwIns_total_1ST: R²=0.144, MAE=3.64, baseline_best=3.84, MAEΔ=+6.3%, rollingR²_med=0.124 (n=5), gate=✅
4. fouls_home_ALL: R²=0.141, MAE=3.59, baseline_best=4.26, MAEΔ=+16.4%, rollingR²_med=0.164 (n=5), gate=✅
5. totalShotsOnGoal_away_2ND: R²=0.127, MAE=2.57, baseline_best=2.71, MAEΔ=+5.0%, rollingR²_med=0.129 (n=5), gate=✅
6. throwIns_total_ALL: R²=0.125, MAE=6.03, baseline_best=6.24, MAEΔ=+5.4%, rollingR²_med=0.127 (n=5), gate=❌ [mae_not_better_than_baseline]
7. throwIns_home_ALL: R²=0.097, MAE=4.13, baseline_best=4.32, MAEΔ=+5.8%, rollingR²_med=0.097 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
8. totalShots_home_ALL: R²=0.094, MAE=3.91, baseline_best=3.98, MAEΔ=+1.8%, rollingR²_med=0.039 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
9. totalShotsOnGoal_home_2ND: R²=0.078, MAE=2.97, baseline_best=3.13, MAEΔ=+5.0%, rollingR²_med=0.092 (n=5), gate=❌ [val_r2_below_min,rolling_r2_below_min]
10. totalShotsOnGoal_total_2ND: R²=0.069, MAE=3.14, baseline_best=3.32, MAEΔ=+6.7%, rollingR²_med=0.058 (n=5), gate=❌ [val_r2_below_min,rolling_r2_below_min]
11. shotsOnGoal_away_2ND: R²=0.068, MAE=1.22, baseline_best=1.20, MAEΔ=-1.5%, rollingR²_med=0.059 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
12. yellowCards_home_ALL: R²=0.063, MAE=0.96, baseline_best=1.00, MAEΔ=+7.2%, rollingR²_med=0.128 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline]
13. goalKicks_away_ALL: R²=0.062, MAE=2.44, baseline_best=2.46, MAEΔ=+0.9%, rollingR²_med=0.065 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
14. shotsOnGoal_home_1ST: R²=0.060, MAE=1.21, baseline_best=1.24, MAEΔ=+2.5%, rollingR²_med=0.049 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
15. totalShots_total_ALL: R²=0.057, MAE=3.81, baseline_best=4.15, MAEΔ=+8.2%, rollingR²_med=0.057 (n=5), gate=❌ [val_r2_below_min,rolling_r2_below_min]
16. goalKicks_home_ALL: R²=0.057, MAE=2.45, baseline_best=2.57, MAEΔ=+5.0%, rollingR²_med=0.050 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
17. throwIns_home_1ST: R²=0.056, MAE=2.62, baseline_best=2.68, MAEΔ=+2.5%, rollingR²_med=0.051 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
18. throwIns_away_ALL: R²=0.052, MAE=4.24, baseline_best=4.35, MAEΔ=+2.7%, rollingR²_med=0.058 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
19. throwIns_away_2ND: R²=0.046, MAE=2.86, baseline_best=2.91, MAEΔ=+2.0%, rollingR²_med=0.035 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
20. shotsOnGoal_away_ALL: R²=0.040, MAE=2.08, baseline_best=2.40, MAEΔ=+23.1%, rollingR²_med=0.057 (n=5), gate=❌ [val_r2_below_min,rolling_r2_below_min]
21. shotsOnGoal_away_1ST: R²=0.036, MAE=1.15, baseline_best=1.15, MAEΔ=+0.4%, rollingR²_med=0.028 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
22. yellowCards_total_2ND: R²=0.035, MAE=1.28, baseline_best=1.28, MAEΔ=-0.1%, rollingR²_med=0.030 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
23. goalKicks_home_1ST: R²=0.029, MAE=1.52, baseline_best=1.53, MAEΔ=+0.2%, rollingR²_med=0.034 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
24. yellowCards_away_2ND: R²=0.026, MAE=0.90, baseline_best=0.87, MAEΔ=-3.6%, rollingR²_med=0.013 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
25. offsides_home_2ND: R²=0.025, MAE=0.80, baseline_best=0.79, MAEΔ=-0.7%, rollingR²_med=0.026 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
26. throwIns_away_1ST: R²=0.024, MAE=2.78, baseline_best=2.83, MAEΔ=+1.9%, rollingR²_med=0.024 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
27. yellowCards_away_1ST: R²=0.023, MAE=0.70, baseline_best=0.65, MAEΔ=-6.5%, rollingR²_med=0.028 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
28. totalShotsOnGoal_home_1ST: R²=0.020, MAE=2.39, baseline_best=2.35, MAEΔ=-1.5%, rollingR²_med=-0.006 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
29. goalKicks_home_2ND: R²=0.018, MAE=1.73, baseline_best=1.76, MAEΔ=+1.4%, rollingR²_med=0.015 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
30. shotsOnGoal_home_2ND: R²=0.016, MAE=1.54, baseline_best=1.50, MAEΔ=-3.2%, rollingR²_med=0.030 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
31. offsides_total_2ND: R²=0.015, MAE=1.04, baseline_best=1.05, MAEΔ=+2.4%, rollingR²_med=-0.002 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
32. yellowCards_total_1ST: R²=0.011, MAE=0.96, baseline_best=0.93, MAEΔ=-3.1%, rollingR²_med=0.002 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
33. yellowCards_home_2ND: R²=0.011, MAE=0.93, baseline_best=0.88, MAEΔ=-6.4%, rollingR²_med=-0.003 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
34. throwIns_total_2ND: R²=0.010, MAE=4.37, baseline_best=4.43, MAEΔ=+2.3%, rollingR²_med=0.010 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
35. offsides_total_1ST: R²=0.008, MAE=1.03, baseline_best=1.04, MAEΔ=+1.2%, rollingR²_med=0.009 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
36. offsides_away_1ST: R²=0.008, MAE=0.71, baseline_best=0.70, MAEΔ=-1.9%, rollingR²_med=0.008 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
37. shotsOnGoal_total_1ST: R²=0.008, MAE=1.68, baseline_best=1.68, MAEΔ=+0.3%, rollingR²_med=0.005 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
38. goalKicks_away_1ST: R²=0.008, MAE=1.68, baseline_best=1.65, MAEΔ=-2.1%, rollingR²_med=0.013 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
39. cornerKicks_home_2ND: R²=0.005, MAE=1.64, baseline_best=1.78, MAEΔ=+7.8%, rollingR²_med=0.064 (n=5), gate=❌ [val_r2_below_min,rolling_r2_below_min]
40. offsides_home_1ST: R²=0.003, MAE=0.85, baseline_best=0.83, MAEΔ=-3.3%, rollingR²_med=0.002 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
41. goalKicks_total_ALL: R²=0.002, MAE=2.96, baseline_best=3.00, MAEΔ=+1.5%, rollingR²_med=0.002 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
42. fouls_total_1ST: R²=-0.000, MAE=2.99, baseline_best=3.07, MAEΔ=+2.5%, rollingR²_med=0.003 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
43. goalKicks_away_2ND: R²=-0.004, MAE=1.84, baseline_best=1.77, MAEΔ=-3.4%, rollingR²_med=0.020 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
44. throwIns_home_2ND: R²=-0.005, MAE=2.86, baseline_best=2.86, MAEΔ=+0.2%, rollingR²_med=-0.005 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
45. goalKicks_total_1ST: R²=-0.006, MAE=2.11, baseline_best=2.07, MAEΔ=-2.0%, rollingR²_med=-0.016 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
46. shotsOnGoal_total_2ND: R²=-0.007, MAE=1.83, baseline_best=1.82, MAEΔ=-0.6%, rollingR²_med=0.011 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
47. yellowCards_home_1ST: R²=-0.009, MAE=0.65, baseline_best=0.66, MAEΔ=+4.0%, rollingR²_med=-0.027 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
48. totalShotsOnGoal_away_1ST: R²=-0.019, MAE=2.26, baseline_best=2.22, MAEΔ=-2.1%, rollingR²_med=-0.016 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
49. totalShotsOnGoal_total_1ST: R²=-0.027, MAE=2.91, baseline_best=2.82, MAEΔ=-3.3%, rollingR²_med=-0.032 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
50. goalKicks_total_2ND: R²=-0.028, MAE=2.00, baseline_best=1.97, MAEΔ=-1.1%, rollingR²_med=-0.022 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
51. offsides_away_2ND: R²=-0.032, MAE=0.74, baseline_best=0.74, MAEΔ=-0.6%, rollingR²_med=-0.044 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
52. cornerKicks_total_1ST: R²=-0.060, MAE=1.56, baseline_best=1.41, MAEΔ=-10.5%, rollingR²_med=-0.140 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
53. cornerKicks_total_2ND: R²=-0.078, MAE=1.67, baseline_best=1.78, MAEΔ=+6.4%, rollingR²_med=-0.043 (n=5), gate=❌ [val_r2_below_min,rolling_r2_below_min]
54. fouls_home_1ST: R²=-0.083, MAE=2.07, baseline_best=2.01, MAEΔ=-2.1%, rollingR²_med=-0.091 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
55. fouls_away_1ST: R²=-0.101, MAE=2.20, baseline_best=2.20, MAEΔ=+0.0%, rollingR²_med=-0.107 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
56. yellowCards_total_ALL: R²=-0.104, MAE=1.56, baseline_best=1.60, MAEΔ=+6.3%, rollingR²_med=-0.088 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
57. shotsOnGoal_home_ALL: R²=-0.114, MAE=1.94, baseline_best=1.93, MAEΔ=+0.7%, rollingR²_med=-0.221 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
58. cornerKicks_total_ALL: R²=-0.129, MAE=3.15, baseline_best=3.11, MAEΔ=-1.1%, rollingR²_med=0.007 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
59. cornerKicks_away_ALL: R²=-0.130, MAE=2.31, baseline_best=2.08, MAEΔ=-10.9%, rollingR²_med=-0.255 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
60. offsides_total_ALL: R²=-0.143, MAE=1.60, baseline_best=1.54, MAEΔ=-4.4%, rollingR²_med=-0.115 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
61. fouls_home_2ND: R²=-0.146, MAE=2.35, baseline_best=2.21, MAEΔ=-5.1%, rollingR²_med=-0.149 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
62. fouls_total_ALL: R²=-0.181, MAE=4.98, baseline_best=5.19, MAEΔ=+4.0%, rollingR²_med=-0.217 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
63. yellowCards_away_ALL: R²=-0.182, MAE=1.33, baseline_best=1.28, MAEΔ=+0.4%, rollingR²_med=-0.070 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
64. shotsOnGoal_total_ALL: R²=-0.236, MAE=2.66, baseline_best=2.56, MAEΔ=-3.9%, rollingR²_med=-0.295 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
65. cornerKicks_home_ALL: R²=-0.237, MAE=2.93, baseline_best=2.80, MAEΔ=-4.4%, rollingR²_med=-0.148 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
66. cornerKicks_away_1ST: R²=-0.283, MAE=1.49, baseline_best=1.27, MAEΔ=-17.9%, rollingR²_med=-0.241 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
67. cornerKicks_away_2ND: R²=-0.328, MAE=1.47, baseline_best=1.16, MAEΔ=-27.4%, rollingR²_med=-0.239 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
68. offsides_away_ALL: R²=-0.374, MAE=0.86, baseline_best=0.61, MAEΔ=-40.7%, rollingR²_med=-0.277 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
69. freeKicks_away_ALL: R²=-0.417, MAE=3.07, baseline_best=2.65, MAEΔ=-15.8%, rollingR²_med=-0.417 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
70. freeKicks_home_ALL: R²=-0.429, MAE=4.03, baseline_best=3.38, MAEΔ=-19.2%, rollingR²_med=-0.510 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
71. freeKicks_total_ALL: R²=-0.490, MAE=5.35, baseline_best=4.49, MAEΔ=-19.2%, rollingR²_med=-0.399 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
72. cornerKicks_home_1ST: R²=-0.514, MAE=1.17, baseline_best=1.02, MAEΔ=-14.7%, rollingR²_med=-0.264 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
73. fouls_away_ALL: R²=-0.616, MAE=4.04, baseline_best=3.50, MAEΔ=-15.5%, rollingR²_med=-0.660 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
74. fouls_total_2ND: R²=-0.624, MAE=4.16, baseline_best=3.43, MAEΔ=-5.4%, rollingR²_med=-0.669 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
75. fouls_away_2ND: R²=-0.799, MAE=2.98, baseline_best=2.55, MAEΔ=-2.9%, rollingR²_med=-0.659 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
