Tier 2 Go-Live Gate Summary
Thresholds: min_r2=0.10, min_mae_improve=5.0%, rolling_window=5, min_rolling_runs=3, min_rolling_r2=0.10
1. totalShots_away_ALL: R²=0.394, MAE=3.30, baseline_best=4.12, MAEΔ=+20.2%, rollingR²_med=0.403 (n=5), gate=✅
2. fouls_home_ALL: R²=0.123, MAE=3.83, baseline_best=4.26, MAEΔ=+10.8%, rollingR²_med=0.169 (n=5), gate=✅
3. shotsOnGoal_away_ALL: R²=0.026, MAE=1.95, baseline_best=2.40, MAEΔ=+28.1%, rollingR²_med=-0.059 (n=5), gate=❌ [val_r2_below_min,rolling_r2_below_min]
4. totalShots_home_ALL: R²=-0.011, MAE=4.23, baseline_best=3.98, MAEΔ=-6.2%, rollingR²_med=-0.068 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
5. offsides_home_ALL: R²=-0.045, MAE=0.87, baseline_best=0.97, MAEΔ=+9.7%, rollingR²_med=-0.050 (n=5), gate=❌ [val_r2_below_min,rolling_r2_below_min]
6. totalShots_total_ALL: R²=-0.048, MAE=4.00, baseline_best=4.15, MAEΔ=+3.6%, rollingR²_med=-0.016 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
7. cornerKicks_away_ALL: R²=-0.127, MAE=2.29, baseline_best=2.08, MAEΔ=-10.2%, rollingR²_med=-0.365 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
8. yellowCards_home_ALL: R²=-0.156, MAE=1.05, baseline_best=1.00, MAEΔ=-1.1%, rollingR²_med=-0.014 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
9. offsides_total_ALL: R²=-0.195, MAE=1.71, baseline_best=1.54, MAEΔ=-11.3%, rollingR²_med=0.038 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
10. cornerKicks_home_2ND: R²=-0.200, MAE=1.68, baseline_best=1.78, MAEΔ=+5.6%, rollingR²_med=-0.101 (n=5), gate=❌ [val_r2_below_min,rolling_r2_below_min]
11. cornerKicks_home_ALL: R²=-0.229, MAE=2.93, baseline_best=2.80, MAEΔ=-4.4%, rollingR²_med=-0.146 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
12. yellowCards_total_ALL: R²=-0.245, MAE=1.69, baseline_best=1.60, MAEΔ=-1.1%, rollingR²_med=-0.237 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
13. shotsOnGoal_home_ALL: R²=-0.265, MAE=2.08, baseline_best=1.93, MAEΔ=-6.3%, rollingR²_med=-0.288 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
14. cornerKicks_total_ALL: R²=-0.281, MAE=3.34, baseline_best=3.11, MAEΔ=-7.2%, rollingR²_med=0.047 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
15. cornerKicks_total_2ND: R²=-0.299, MAE=1.72, baseline_best=1.78, MAEΔ=+3.6%, rollingR²_med=-0.244 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
16. fouls_total_ALL: R²=-0.308, MAE=5.23, baseline_best=5.19, MAEΔ=-0.7%, rollingR²_med=-0.209 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
17. yellowCards_away_ALL: R²=-0.315, MAE=1.38, baseline_best=1.28, MAEΔ=-2.9%, rollingR²_med=-0.170 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
18. shotsOnGoal_total_ALL: R²=-0.361, MAE=2.76, baseline_best=2.56, MAEΔ=-7.7%, rollingR²_med=-0.498 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
19. cornerKicks_total_1ST: R²=-0.449, MAE=1.82, baseline_best=1.41, MAEΔ=-29.2%, rollingR²_med=-0.368 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
20. cornerKicks_away_1ST: R²=-0.517, MAE=1.65, baseline_best=1.27, MAEΔ=-30.4%, rollingR²_med=-0.359 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
21. cornerKicks_away_2ND: R²=-0.551, MAE=1.58, baseline_best=1.16, MAEΔ=-36.3%, rollingR²_med=-0.378 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
22. offsides_away_ALL: R²=-0.583, MAE=1.01, baseline_best=0.61, MAEΔ=-65.3%, rollingR²_med=-0.467 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
23. fouls_away_ALL: R²=-0.705, MAE=4.14, baseline_best=3.50, MAEΔ=-18.2%, rollingR²_med=-0.818 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
24. cornerKicks_home_1ST: R²=-0.832, MAE=1.30, baseline_best=1.02, MAEΔ=-28.1%, rollingR²_med=-0.252 (n=5), gate=❌ [val_r2_below_min,mae_not_better_than_baseline,rolling_r2_below_min]
